timestamp_hour,ap_name,total_events,total_connections,total_disconnections,total_auth,unique_clients,disconnection_rate,status
2026-03-20 20:00:00,058_La Elvira-AP1,12,4,4,4,1,1.0,online
2026-03-20 20:00:00,060_Felidia-AP1,6,2,2,2,1,1.0,online
2026-03-20 20:00:00,060_Felidia-AP2,17,6,6,5,3,1.0,online
2026-03-20 20:00:00,061_La Leonera-AP1,10,3,4,3,2,1.3333333333333333,online
2026-03-20 20:00:00,061_La Leonera-AP2,6,2,2,2,1,1.0,online
2026-03-20 20:00:00,063_Los Andes-AP1,3,1,1,1,1,1.0,online
2026-03-20 20:00:00,067_Montebello-AP1,7,2,3,2,2,1.5,offline
2026-03-20 20:00:00,072_Hormiguero_AP1,32,11,9,11,5,0.8181818181818182,online
2026-03-20 21:00:00,057_La Castilla-AP1,27,9,8,9,3,0.8888888888888888,online
2026-03-20 21:00:00,057_La Castilla-AP2,13,4,5,4,2,1.25,online
2026-03-20 21:00:00,058_La Elvira-AP1,29,8,12,8,5,1.5,online
2026-03-20 21:00:00,059_El Saladito-AP1,119,35,49,33,4,1.4,online
2026-03-20 21:00:00,060_Felidia-AP1,81,26,28,26,12,1.0769230769230769,online
2026-03-20 21:00:00,060_Felidia-AP2,121,38,50,33,14,1.3157894736842106,online
2026-03-20 21:00:00,061_La Leonera-AP1,41,12,17,12,5,1.4166666666666667,online
2026-03-20 21:00:00,062_Pichinde-AP2,10,4,4,2,2,1.0,online
2026-03-20 21:00:00,063_Los Andes-AP1,1,0,1,0,1,,online
2026-03-20 21:00:00,066_Pance-AP1,23,7,8,6,2,1.1428571428571428,online
2026-03-20 21:00:00,067_Montebello-AP1,16,4,8,4,3,2.0,offline
2026-03-20 21:00:00,072_Hormiguero_AP1,231,62,108,56,25,1.7419354838709677,online
2026-03-20 21:00:00,073_Navarro-AP1,14,4,6,4,1,1.5,online
2026-03-20 22:00:00,072_Hormiguero_AP1,35,10,16,8,6,1.6,online
2026-03-20 23:00:00,066_Pance-AP1,3,1,1,1,1,1.0,online
2026-03-20 23:00:00,072_Hormiguero_AP1,4,1,2,1,2,2.0,online
2026-03-21 00:00:00,057_La Castilla-AP1,3,1,1,1,1,1.0,online
2026-03-21 00:00:00,072_Hormiguero_AP1,22,8,8,5,4,1.0,online
2026-03-21 01:00:00,060_Felidia-AP2,3,1,1,1,1,1.0,online
2026-03-21 01:00:00,072_Hormiguero_AP1,44,12,19,12,1,1.5833333333333333,online
2026-03-21 02:00:00,061_La Leonera-AP1,3,1,1,1,1,1.0,online
2026-03-21 02:00:00,072_Hormiguero_AP1,24,6,11,6,1,1.8333333333333333,online
2026-03-21 03:00:00,072_Hormiguero_AP1,19,5,8,5,1,1.6,online
2026-03-21 04:00:00,072_Hormiguero_AP1,4,1,2,1,1,2.0,online
2026-03-21 05:00:00,072_Hormiguero_AP1,7,2,3,2,2,1.5,online
2026-03-21 06:00:00,058_La Elvira-AP1,3,1,0,1,1,0.0,online
2026-03-21 06:00:00,072_Hormiguero_AP1,5,2,3,0,2,1.5,online
2026-03-21 07:00:00,058_La Elvira-AP1,6,1,4,1,2,4.0,online
2026-03-21 07:00:00,072_Hormiguero_AP1,20,6,7,6,4,1.1666666666666667,online
2026-03-21 08:00:00,072_Hormiguero_AP1,9,3,4,2,4,1.3333333333333333,online
2026-03-21 09:00:00,060_Felidia-AP2,3,1,1,1,1,1.0,online
2026-03-21 10:00:00,058_La Elvira-AP2,3,1,1,1,1,1.0,dormant
2026-03-21 10:00:00,059_El Saladito-AP1,2,1,0,1,1,0.0,online
2026-03-21 11:00:00,059_El Saladito-AP1,1,0,1,0,1,,online
2026-03-21 11:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-21 12:00:00,060_Felidia-AP2,3,1,1,1,1,1.0,online
2026-03-21 12:00:00,072_Hormiguero_AP1,6,2,2,2,2,1.0,online
2026-03-21 13:00:00,059_El Saladito-AP1,5,1,2,1,1,2.0,online
2026-03-21 14:00:00,057_La Castilla-AP2,4,1,1,1,1,1.0,online
2026-03-21 14:00:00,058_La Elvira-AP1,5,1,2,1,1,2.0,online
2026-03-21 14:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-21 15:00:00,061_La Leonera-AP1,3,1,1,1,1,1.0,online
2026-03-21 15:00:00,072_Hormiguero_AP1,14,4,5,4,3,1.25,online
2026-03-21 17:00:00,060_Felidia-AP2,4,1,2,1,1,2.0,online
2026-03-21 17:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-21 18:00:00,060_Felidia-AP1,4,1,2,1,1,2.0,online
2026-03-21 19:00:00,058_La Elvira-AP1,4,1,1,1,1,1.0,online
2026-03-21 19:00:00,059_El Saladito-AP1,4,1,2,1,1,2.0,online
2026-03-21 19:00:00,060_Felidia-AP2,6,2,2,2,2,1.0,online
2026-03-21 19:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-21 20:00:00,058_La Elvira-AP1,4,1,2,1,2,2.0,online
2026-03-21 20:00:00,062_Pichinde-AP1,3,1,1,1,1,1.0,online
2026-03-21 20:00:00,072_Hormiguero_AP1,4,1,2,1,1,2.0,online
2026-03-21 21:00:00,058_La Elvira-AP1,1,0,1,0,1,,online
2026-03-21 21:00:00,059_El Saladito-AP1,3,1,1,1,1,1.0,online
2026-03-21 21:00:00,060_Felidia-AP2,3,1,1,1,1,1.0,online
2026-03-21 21:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-21 22:00:00,058_La Elvira-AP2,3,1,1,1,1,1.0,dormant
2026-03-21 22:00:00,059_El Saladito-AP1,3,1,1,1,1,1.0,online
2026-03-21 22:00:00,066_Pance-AP1,3,1,1,1,1,1.0,online
2026-03-21 22:00:00,072_Hormiguero_AP1,2,1,0,1,1,0.0,online
2026-03-21 23:00:00,072_Hormiguero_AP1,1,0,1,0,1,,online
2026-03-22 02:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-22 03:00:00,067_Montebello-AP1,4,1,2,1,1,2.0,offline
2026-03-22 03:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-22 06:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-22 08:00:00,057_La Castilla-AP2,3,1,1,1,1,1.0,online
2026-03-22 08:00:00,070_La Buitrera-AP1,4,1,2,1,1,2.0,dormant
2026-03-22 08:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-22 09:00:00,072_Hormiguero_AP1,9,3,2,3,3,0.6666666666666666,online
2026-03-22 10:00:00,063_Los Andes-AP2,3,1,1,1,1,1.0,online
2026-03-22 10:00:00,072_Hormiguero_AP1,9,2,5,2,3,2.5,online
2026-03-22 11:00:00,069_La Paz-AP1,3,1,1,1,1,1.0,offline
2026-03-22 11:00:00,072_Hormiguero_AP1,3,1,1,1,1,1.0,online
2026-03-22 12:00:00,072_Hormiguero_AP1,4,1,2,1,1,2.0,online
2026-03-22 13:00:00,060_Felidia-AP1,3,1,1,1,1,1.0,online
2026-03-22 13:00:00,063_Los Andes-AP3,3,1,1,1,1,1.0,online
2026-03-22 14:00:00,060_Felidia-AP2,4,1,1,1,1,1.0,online
2026-03-22 15:00:00,059_El Saladito-AP1,5,1,2,1,1,2.0,online
2026-03-22 15:00:00,060_Felidia-AP1,3,1,1,1,1,1.0,online
2026-03-22 16:00:00,061_La Leonera-AP1,2,1,0,1,1,0.0,online
2026-03-22 16:00:00,072_Hormiguero_AP1,8,2,3,2,2,1.5,online
2026-03-22 17:00:00,061_La Leonera-AP1,1,0,1,0,1,,online
2026-03-22 18:00:00,058_La Elvira-AP1,4,1,2,1,1,2.0,online
2026-03-22 18:00:00,060_Felidia-AP1,3,1,1,1,1,1.0,online
2026-03-22 18:00:00,060_Felidia-AP2,3,1,1,1,1,1.0,online
2026-03-22 19:00:00,060_Felidia-AP2,4,1,2,1,1,2.0,online
2026-03-22 20:00:00,072_Hormiguero_AP1,7,2,2,2,2,1.0,online
